date,home_team,away_team,home_score,away_score,tournament,country,neutral
2014-01-01,Jordan,Kuwait,2,1,West Asian Championship,Qatar,True
2014-01-04,Qatar,Kuwait,3,0,West Asian Championship,Qatar,False
2014-01-04,Jordan,Bahrain,1,0,West Asian Championship,Qatar,True
2014-01-07,Bahrain,Kuwait,0,0,West Asian Championship,Qatar,True
2014-01-07,Qatar,Jordan,2,0,West Asian Championship,Qatar,False
2014-01-15,Norway,Moldova,2,1,Friendly,United Arab Emirates,True
2014-01-17,Sweden,Moldova,2,1,Friendly,United Arab Emirates,True
2014-01-18,Poland,Norway,3,0,Friendly,United Arab Emirates,True
2014-01-20,Poland,Moldova,1,0,Friendly,United Arab Emirates,True
2014-01-21,Sweden,Iceland,2,0,Friendly,United Arab Emirates,True
2014-01-22,Chile,Costa Rica,4,0,Friendly,Chile,False
2014-01-24,Oman,Finland,0,0,Friendly,Oman,False
2014-01-25,South Korea,Costa Rica,1,0,Friendly,United States,True
2014-01-29,Mexico,South Korea,4,0,Friendly,United States,True
2014-01-31,Oman,Jordan,0,0,Asian Cup qualifier,Oman,False
2014-02-01,United States,South Korea,2,0,Friendly,United States,False
2014-02-04,Singapore,Jordan,1,3,Asian Cup qualifier,Singapore,False
2014-02-07,St Vincent & Grenadines,Dominica,3,2,Friendly,St Vincent & Grenadines,False
2014-02-09,St Vincent & Grenadines,Dominica,0,0,Friendly,St Vincent & Grenadines,False
2014-02-19,Lebanon,Pakistan,3,1,Friendly,Lebanon,False
2014-02-21,Iraq,North Korea,2,0,Friendly,United Arab Emirates,True
2014-03-01,Malaysia,Philippines,0,0,Friendly,Malaysia,False
2014-03-01,Gibraltar,Faroe Islands,1,4,Friendly,Gibraltar,False
2014-03-02,Barbados,Jamaica,0,2,Friendly,Barbados,False
2014-03-03,Iran,Kuwait,3,2,Asian Cup qualifier,Iran,False
2014-03-05,Japan,New Zealand,4,2,Friendly,Japan,False
2014-03-05,Azerbaijan,Philippines,1,0,Friendly,United Arab Emirates,True
2014-03-05,Ecuador,Australia,4,3,Friendly,England,True
2014-03-05,Iraq,China,3,1,Asian Cup qualifier,United Arab Emirates,True
2014-03-05,Saudi Arabia,Indonesia,1,0,Asian Cup qualifier,Saudi Arabia,False
2014-03-05,India,Bangladesh,2,2,Friendly,India,False
2014-03-05,Thailand,Lebanon,2,5,Asian Cup qualifier,Thailand,False
2014-03-05,Iran,Guinea,1,2,Friendly,Iran,False
2014-03-05,Greece,South Korea,0,2,Friendly,Greece,False
2014-03-05,Vietnam,Hong Kong,3,1,Asian Cup qualifier,Vietnam,False
2014-03-05,Jordan,Syria,2,1,Asian Cup qualifier,Jordan,False
2014-03-05,Oman,Singapore,3,1,Asian Cup qualifier,Oman,False
2014-03-05,Malaysia,Yemen,2,1,Asian Cup qualifier,United Arab Emirates,True
2014-03-05,Qatar,Bahrain,0,0,Asian Cup qualifier,Qatar,False
2014-03-05,Uzbekistan,United Arab Emirates,1,1,Asian Cup qualifier,Uzbekistan,False
2014-03-05,Egypt,Bosnia and Herzegovina,2,0,Friendly,Austria,True
2014-03-05,South Africa,Brazil,0,5,Friendly,South Africa,False
2014-03-05,Zambia,Uganda,2,1,Friendly,Zambia,False
2014-03-05,Namibia,Tanzania,1,1,Friendly,Namibia,False
2014-03-05,Malawi,Zimbabwe,1,4,Friendly,Malawi,False
2014-03-05,Mexico,Nigeria,0,0,Friendly,United States,True
2014-03-05,Montenegro,Ghana,1,0,Friendly,Montenegro,False
2014-03-05,Burundi,Rwanda,1,1,Friendly,Burundi,False
2014-03-05,Colombia,Tunisia,1,1,Friendly,Spain,True
2014-03-05,Morocco,Gabon,1,1,Friendly,Morocco,False
2014-03-05,Luxembourg,Cape Verde,0,0,Friendly,Luxembourg,False
2014-03-05,Portugal,Cameroon,5,1,Friendly,Portugal,False
2014-03-05,Mali,Senegal,1,1,Friendly,France,True
2014-03-05,Burkina Faso,Comoros,1,1,Friendly,France,True
2014-03-05,Belgium,Ivory Coast,2,2,Friendly,Belgium,False
2014-03-05,Algeria,Slovenia,2,0,Friendly,Algeria,False
2014-03-05,Mauritania,Niger,1,1,Friendly,Mauritania,False
2014-03-05,Botswana,South Sudan,3,0,Friendly,Botswana,False
2014-03-05,Mozambique,Angola,1,1,Friendly,Mozambique,False
2014-03-05,Ukraine,United States,2,0,Friendly,Cyprus,True
2014-03-05,Costa Rica,Paraguay,2,1,Friendly,Costa Rica,False
2014-03-05,Kosovo,Haiti,0,0,Friendly,Kosovo,False
2014-03-05,Saint Lucia,Jamaica,0,5,Friendly,Saint Lucia,False
2014-03-05,Honduras,Venezuela,2,1,Friendly,Honduras,False
2014-03-05,Austria,Uruguay,1,1,Friendly,Austria,False
2014-03-05,Romania,Argentina,0,0,Friendly,Romania,False
2014-03-05,Germany,Chile,1,0,Friendly,Germany,False
2014-03-05,Poland,Scotland,0,1,Friendly,Poland,False
2014-03-05,England,Denmark,1,0,Friendly,England,False
2014-03-05,Wales,Iceland,3,1,Friendly,Wales,False
2014-03-05,Cyprus,Northern Ireland,0,0,Friendly,Cyprus,False
2014-03-05,Hungary,Finland,1,2,Friendly,Hungary,False
2014-03-05,France,Netherlands,2,0,Friendly,France,False
2014-03-05,Switzerland,Croatia,2,2,Friendly,Switzerland,False
2014-03-05,Turkey,Sweden,2,1,Friendly,Turkey,False
2014-03-05,Czechia,Norway,2,2,Friendly,Czechia,False
2014-03-05,Spain,Italy,1,0,Friendly,Spain,False
2014-03-05,Russia,Armenia,2,0,Friendly,Russia,False
2014-03-05,Gibraltar,Estonia,0,2,Friendly,Gibraltar,False
2014-03-05,Macedonia,Latvia,2,1,Friendly,Macedonia,False
2014-03-05,Kazakhstan,Lithuania,1,1,Friendly,Turkey,True
2014-03-05,Bulgaria,Belarus,2,1,Friendly,Bulgaria,False
2014-03-05,Ireland,Serbia,1,2,Friendly,Ireland,False
2014-03-05,Israel,Slovakia,1,3,Friendly,Israel,False
2014-03-05,Albania,Malta,2,0,Friendly,Albania,False
2014-03-05,Andorra,Moldova,0,3,Friendly,Andorra,False
2014-03-05,Georgia,Liechtenstein,2,0,Friendly,Georgia,False
2014-03-07,Lesotho,Swaziland,0,1,Friendly,Lesotho,False
2014-03-09,Lesotho,Swaziland,0,0,Friendly,Lesotho,False
2014-03-19,Saint Lucia,Martinique,0,0,Friendly,Saint Lucia,False
2014-03-25,Yemen,Nepal,2,0,Friendly,Qatar,True
2014-03-26,Indonesia,Andorra,1,0,Friendly,Spain,True
2014-03-27,Aruba,Guam,2,2,Friendly,Aruba,False
2014-03-29,Cuba,Indonesia,1,0,Friendly,Spain,True
2014-03-30,Aruba,Guam,2,0,Friendly,Aruba,False
2014-04-02,United States,Mexico,2,2,Friendly,United States,False
2014-04-11,Philippines,Nepal,3,0,Friendly,Qatar,True
2014-04-12,Mauritania,Mauritius,1,0,African Nations Cup qualifier,Mauritania,False
2014-04-13,Afghanistan,Kyrgyzstan,0,0,Friendly,United Arab Emirates,True
2014-04-15,Chad,Yemen,0,0,Friendly,Qatar,True
2014-04-17,Guadeloupe,French Guiana,3,2,Friendly tournament,Guadeloupe,False
2014-04-19,Guadeloupe,Martinique,0,1,Friendly tournament,Guadeloupe,False
2014-04-20,Mauritius,Mauritania,0,2,African Nations Cup qualifier,Mauritius,False
2014-04-26,Tanzania,Burundi,0,3,Friendly,Tanzania,False
2014-04-27,Philippines,Malaysia,0,0,Friendly,Philippines,False
2014-04-30,Dominica,Saint Lucia,0,2,Windward Islands Champ,Dominica,False
2014-04-30,Grenada,St Vincent & Grenadines,0,0,Windward Islands Champ,Dominica,True
2014-05-02,Dominica,St Vincent & Grenadines,2,3,Windward Islands Champ,Dominica,False
2014-05-02,Saint Lucia,Grenada,1,0,Windward Islands Champ,Dominica,True
2014-05-04,Tajikistan,Afghanistan,1,0,Friendly,Tajikistan,False
2014-05-04,Tanzania,Malawi,0,0,Friendly,Tanzania,False
2014-05-04,Dominica,Grenada,3,5,Windward Islands Champ,Dominica,False
2014-05-04,Saint Lucia,St Vincent & Grenadines,0,0,Windward Islands Champ,Dominica,True
2014-05-11,Botswana,Swaziland,1,4,Friendly,Botswana,False
2014-05-12,Afghanistan,Kyrgyzstan,1,0,Friendly,Kuwait,True
2014-05-13,Maldives,Laos,7,1,Friendly,Maldives,False
2014-05-13,Germany,Poland,0,0,Friendly,Germany,False
2014-05-14,Kuwait,Afghanistan,3,2,Friendly,Kuwait,False
2014-05-16,Kuwait,Kyrgyzstan,2,2,Friendly,Kuwait,False
2014-05-17,Malawi,Chad,2,0,African Nations Cup qualifier,Malawi,False
2014-05-17,Sao Tome and Principe,Benin,0,2,African Nations Cup qualifier,Sao Tome and Principe,False
2014-05-17,Namibia,Congo,1,0,African Nations Cup qualifier,Namibia,False
2014-05-17,Mauritania,Equatorial Guinea,1,0,African Nations Cup qualifier,Mauritania,False
2014-05-17,Netherlands,Ecuador,1,1,Friendly,Netherlands,False
2014-05-18,Belarus,Iran,0,0,Friendly,Austria,True
2014-05-18,Kenya,Comoros,1,0,African Nations Cup qualifier,Kenya,False
2014-05-18,Madagascar,Uganda,2,1,African Nations Cup qualifier,Madagascar,False
2014-05-18,Tanzania,Zimbabwe,1,0,African Nations Cup qualifier,Tanzania,False
2014-05-18,Swaziland,Sierra Leone,1,1,African Nations Cup qualifier,Swaziland,False
2014-05-18,Central African Republic,Guinea-Bissau,0,0,African Nations Cup qualifier,Congo,True
2014-05-18,Burundi,Botswana,0,0,African Nations Cup qualifier,Burundi,False
2014-05-18,Libya,Rwanda,0,0,African Nations Cup qualifier,Tunisia,True
2014-05-18,Liberia,Lesotho,1,0,African Nations Cup qualifier,Liberia,False
2014-05-18,Mozambique,South Sudan,5,0,African Nations Cup qualifier,Mozambique,False
2014-05-19,Maldives,Myanmar,2,3,Asian Cup q & Asian Chlg Cup,Maldives,False
2014-05-19,Palestine,Kyrgyzstan,1,0,Asian Cup q & Asian Chlg Cup,Maldives,True
2014-05-20,Afghanistan,Philippines,0,0,Asian Cup q & Asian Chlg Cup,Maldives,True
2014-05-20,Turkmenistan,Laos,5,1,Asian Cup q & Asian Chlg Cup,Maldives,True
2014-05-20,French Guiana,Suriname,0,0,Friendly,French Guiana,False
2014-05-21,Palestine,Myanmar,2,0,Asian Cup q & Asian Chlg Cup,Maldives,True
